Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species
25-Jun-2018,2018.0,Boating,USA,California,"Oceanside, San Diego County",Paddling,Female,57.0,"No injury to occupant, outrigger canoe and paddle damaged",N,18h00,White shark
18-Jun-2018,2018.0,Unprovoked,USA,Georgia,"St. Simon Island, Glynn County",Standing,Female,11.0,Minor injury to left thigh,N,14h00  -15h00,
09-Jun-2018,2018.0,Invalid,USA,Hawaii,"Habush, Oahu",Surfing,Male,48.0,Injury to left lower leg from surfboard skeg,N,07h45,
08-Jun-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Arrawarra Headland,Surfing,Male,,Minor injury to lower leg,N,,2 m shark
04-Jun-2018,2018.0,Provoked,MEXICO,Colima,La Ticla,Free diving,Male,,Lacerations to leg & hand shark PROVOKED INCIDENT,N,,"Tiger shark, 3m"
03-Jun-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Ballina",Kite surfing,Male,,"No injury, board bitten",N,,
03-Jun-2018,2018.0,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Swimming,Male,18.0,FATAL,Y,Late afternoon,Tiger shark
27-May-2018,2018.0,Unprovoked,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,Male,52.0,Minor injury to foot. PROVOKED INCIDENT,N,,"Lemon shark, 3'"
26-May-2018,2018.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Walking,Male,15.0,Lower left leg bitten,N,17h00,"Bull shark, 6'"
26-May-2018,2018.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,Male,12.0,Minor injury to foot,N,14h00,
24-May-2018,2018.0,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,Feeding sharks,Male,32.0,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,Morning,Grey reef shark
21-May-2018,2018.0,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",Boogie boarding,Male,10.0,Injuries to lower right leg and foot,N,,
13-May-2018,2018.0,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,Male,10.0,Severe bite to right forearm,N,15h00,
13-May-2018,2018.0,Invalid,ENGLAND,Cornwall,Off Land's End,Fishing,Male,21.0,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,08h15,Invalid incident
May 2018,2018.0,Provoked,AUSTRALIA,Westerm Australia,Dugong Bay,Feeding sharks,Female,34.0,Shallow lacerations to finger PROVOKED INCIDENT,N,,"Tawny nurse shark, 2m"
12-May-2018,2018.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,Male,,"Minor injury, marks on board",N,11h00,
09-May-2018,2018.0,Questionable,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,Male,,"No injury, surfboard damaged",N,10h30,Shark involvement not confirmed
Reported 30-Apr-2018,2018.0,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,Male,,Minor injury to ankle,N,,
28-Apr-2018,2018.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,Male,30.0,"No injury, shark bit scuba gear",N,10h40,Tiger shark
28-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Gearys Beach,Surfing,Male,,"No injury, knocked off board by shark",N,16h50,
25-Apr-2018,2018.0,Questionable,AUSTRALIA,New South Wales,Lennox Head,Surfing,Male,,No injury,N,07h00,Questionable
25-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",Surfing,Male,60.0,"No injury, knocked off board by shark",N,09h30,3 m shark
24-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,Male,,"No injury, shark struck his leg",N,Afternoon,"White shark, 3.5 m"
23-Apr-2018,2018.0,Unprovoked,MALDIVES,Alifu Alifu Atoll,Madoogali,Fishing,Male,32.0,5-inch cut to hand,N,21h50,Tiger shark
22-Apr-2018,2018.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Paddle-skiing,Male,33.0,"No injury, shark bit hole in ski",N,09h40,"White shark, 2.5 m"
19-Apr-2018,2018.0,Unprovoked,USA,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",Body boarding,Male,29.0,Lacerations to right lower leg,N,,6' shark
15-Apr-2018,2018.0,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,Male,54.0,Lacerations to foot and ankle,N,,Juvenile bull shark
15-Apr-2018,2018.0,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,Male,34.0,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",,,
15-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",Surfing,Male,41.0,Laceration to right thigh,N,,
15-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",Surfing,Male,37.0,Lacerations to legs,N,08h00,
14-Apr-2018,2018.0,Unprovoked,BAHAMAS,New Providence,Nirvana Beach,Surfing,Male,,No Injury. Shark swam away with the surf board,N,09h30,Tiger shark
Reported 10-Apr-2018,2018.0,Invalid,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",Fishing,Male,56.0,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,,Shark involvement not confirmed
09-Apr-2018,2018.0,Unprovoked,NEW CALEDONIA,,"Magenta Beach, Noumea",Windsurfing,,,"No injury, shark bit board",N,17h00,2 m shark
05-Apr-2018,2018.0,Unprovoked,BAHAMAS,,Bimini,Swimming,Male,12.0,"2 puncture wounds to left foot, abrasion to right foot",N,18h00,Bull shark
03-Apr-2018,2018.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,Male,19.0,Lacerations to left knee & lower leg,N,15h00,White shark
31-Mar-2018,2018.0,Unprovoked,USA,Hawaii,Kukio Beach,Stand-Up Paddleboarding,Male,25.0,Injuries to right leg & hand,N,09h30,"Tiger shark, 12'"
14-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,Wading,Male,10.0,Minor injuries to legs,N,17h35,Wobbegong shark
9-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Victoria,Lorne,Swimming,Male,69.0,"No injury, said to have been charged by sharks several times",N,15h30,3.5 m shark
9-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Victoria,Winkipop,Surfing,Male,18.0,"Minor injury, ankle grazed",N,07h30,1.8 m shark
24-Feb-2018,2018.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban,Scuba Diving,Male,38.0, The shark & man simply collided; neither were injured,N,,Blacktip shark
23-Feb-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,Female,55.0,Laceratons to right leg & foot,N,"19h00, Dusk","Juvenile white shark,  2.7 to 3.2 m"
18-Feb-2018,2018.0,Provoked,AUSTRALIA,Victoria,Westernport Bay,Kayak fishing for sharks,Male,34.0,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,Night,
15-Feb-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Kiama",Walking,Male,35.0,Puncture wounds to leff foot & lower leg,N,16h00,"Bull shark, 2 m"
14-Feb-2018,2018.0,Invalid,AUSTRALIA,Queensland,Mooloolaba Beach,Swimming,Female,,"Collision / No injury, no attack",N,18h00,Possibly a wobbegong
11-Feb-2018,2018.0,Invalid,BRAZIL,"Boi Island, Victoria",Espirito Santo,Cleaning fish,Female,46.0,Lacerations to 4 toes of right foot,N,,"Injury believed caused by an eel, not a shark"
03-Feb-2018,2018.0,Unprovoked,ECUADOR,Galapagos Islands,Santa Fe Island,Snorkeling,Male,45.0,Injuries to right foot,N,,Galapagos shark?
01-Feb-2018,2018.0,Invalid,AUSTRALIA,Western Australia,"Avalon Point, Manurah",Spearfishing,Male,14.0,"No injury no attack. This is considerd an ""encounter""",N,,2m shark
28-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Cone Bay,,Male,18.0,Injuries to right leg,N,08h00,Bull shark
21-Jan-2018,2018.0,Unprovoked,NEW CALEDONIA,,Nouville,Spearfishing,Male,,Injuries to abdomen and arm,N,15h30,"Bull shark, 3 m "
14-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Queensland,Lizard Island,Diving,Male,,Severe laceration to left forearm,N,15h01,Grey reef shark. 2 m
13-Jan-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,Free diving,Male,28.0,"No injury, shark took his swimfin",N,,"White shark, 3.5 m"
12-Jan-2018,2018.0,Unprovoked,BRAZIL,Fernando de Noronha,Conceicao Beach,Surfing,Male,20.0,Minor injury to left forearm,N,Late afternoon,small shark
05-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,Male,,Foot bitten,N,,Wobbegong shark?
31-Dec-2017,2017.0,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",Surfing,Female,54.0,Severe lacerations to left thigh & knee,N,18h00,Tiger shark
30-Dec-2017,2017.0,Unprovoked,USA,California,"Drakes Estero, Point Reyes, Marin County",Surfing,Female,35.0,Foot bitten,N,12h00,
21-Dec-2017,2017.0,Provoked,MALAYSIA,Sepang,Bagan Lalang Beach,Fishing / Wading,Male,24.0,"Minor injury to thigh, PROVOKED INCIDENT",N,,Juvenile nurse shark
09-Dec-2017,2017.0,Unprovoked,BAHAMAS,,,Snorkeling,Female,25.0,Minor injury to arm,N,,Nurse shark. 5'
30-Nov-2017,2017.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba Diving,Male,26.0,Serious injury to leg,N,,"Tiger shark, female"
30-Nov-2017,2017.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,Female,49.0,FATAL,Y,,"Tiger shark, female"
Reported 25-Nov-2017,2017.0,Sea Disaster,LIBYA,, Gars Garabulli,2 boats capsized,,,FATAL,Y,,Some drowned but other may have been killed by blue sharks
24-Nov-2017,2017.0,Unprovoked,USA,California,"Stillwater Cove, Monterey County",Spearfishing,Male,25.0,Right leg bitten,N,13h45,"White shark, 4.6 m"
18-Nov-2017,2017.0,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,Female,14.0,Heel bitten,N,Late afternoon,
Reported 13-Nov-2017,2017.0,Unprovoked,,,,Surfing,Male,24.0,Puncture wounds to feet,N,,
13-Nov-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,Male,25.0,Puncture wounds to left shoulder,N,16h00,2 m shark
04-Nov-2017,2017.0,Unprovoked,CUBA,Holquin Province,Guardalavaca Beach,Night bathing,Male,22.0,FATAL,Y,23h30,Tiger shark
Reported 31-Oct-2017,2017.0,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,Snorkeling,Male,7.0,Calf injured,N,,Cookiecutter shark
28-Oct-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,Birubi Point,Surfing,Male,31.0,Minor injury to foot,N,09h00,"Wobbegong shark, 1 m"
26-Oct-2017,2017.0,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",Stand-Up Paddleboarding,Male,,No injury but shark bit SUP,N,15h00,
23-Oct-2017,2017.0,Unprovoked,MAURITIUS,Pamplemousses ,Le Goulet,Swimming,Male,,Minor injury to foot,N,Afternoon,
23-Oct-2017,2017.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing ,Male,17.0,Lacerations to left foot,N,17h00,
23-Oct-2017,2017.0,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,Female,60.0,Severe lacerations to left hand & wrist,N,08h00,
22-Oct-2017,2017.0,Unprovoked,AUSTRALIA,South Australia,Normanville,Kayaking / Fishing,Female,15.0,Minor injuries,N,Afternoon,"White shark, 4.5 m"
21-Oct-2017,2017.0,Unprovoked,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",Kayaking,Male,,"No injury, shark shook kayak x3 ",N,09h00,2 m shark
18-Oct-2017,2017.0,Unprovoked,USA,Florida,"Lantana Beach, Palm Beach County",Swimming,Male,,Puncture wounds & lacerations to foot,N,14h30,"Spinner shark, 4 to 5 feet"
09-Oct-2017,2017.0,Unprovoked,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,Male,54.0,Lacerations to left hand,N,18h30,"Tiger shark, 8 to 10 feet"
05-Oct-2017,2017.0,Unprovoked,USA,Hawaii,"Kamaole Beach Park, Maui ",Snorkeling,Female,40.0,Abrasions,N,12h30,8' shark
01-Oct-2017,2017.0,Invalid,SOUTH AFRICA,Western Cape Province,Dyer Island,Scuba Diving,Male,31.0,FATAL,,,Death may have been due to drowning
25-Sep-2017,2017.0,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,Male,,Lacerations to lower left leg and foot,N,Morning,5' shark
25-Sep-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,Male,,"No injury, board damaged by shark",N,18h00,"White shark, 3.5 m"
24-Sep-2017,2017.0,Invalid,USA,New York,Rockaway,Surfing,Male,33.0,"Lacerations to right ankle, foot & toe",,15h30,Questionable
24-Sep-2017,2017.0,Unprovoked,USA,Florida,Fort Worth,Surfing,Male,,Laceration to upper arm,N,14h00,4' to 5' shark
20-Sep-2017,2017.0,Unprovoked,USA,Florida,Palm Beach County,Surfing,Male,,Minor lacerations to sole of left foot,N,Morning,
16-Sep-2017,2017.0,Unprovoked,SPAIN,Canary Islands,Gran Canaria ,Body surfing,Male,13.0,Lacerations to right foot,N,,"Porbeagle, 1.5 m"
16-Sep-2017,2017.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,Male,28.0,Lacerations to left foot,N,16h30,
15-Sep-2017,2017.0,Invalid,SOUTH AFRICA,Western Cape Province,Hawston,Scuba Diving,Male,25.0,"FATAL, but death was probably due to drowning",,Afternoon,
15-Sep-2017,2017.0,,SAMOA, Upolu Island,Nofoalii,Fishing,Male,,Injuries to hands and legs,N,Night,
Sep-2017,2017.0,Boating,AUSTRALIA,Westerm Australia,Esperance,Fishing,,,"sharks rammed boats, no injury to occupants",N,,"White shark, 3.5m"
13-Sep-2017,2017.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,Male,18.0,Lacerations to left foot,N,18h45,5' to 6' shark
10-Sep-2017,2017.0,Unprovoked,AUSTRALIA,Westerm Australia,Sam's Creek area,Swimming,Male,,Minor injuries,N,15h00,
10-Sep-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,Iluka Beach,Surfing,Male,35.0,Minor lacerations to right hip,N,06h00,"White shark, 3 to 3.5m "
Reported 06-Sep-2017,2017.0,Unprovoked,SOLOMON ISLANDS,,Owarigi Island,Spearfishing,Male,,Foot bitten,N,,
03-Sep-2017,2017.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,"Swimming, poaching abalone",Male,,FATAL,Y,Morning,
03-Sep-2017,2017.0,Unprovoked,JAPAN,Shizuoka Prefecture,Iwata City,Surfing,Male,42.0,Injury to ankle & feet,N,10h00,
02-Sep-2017,2017.0,Unprovoked,USA,Florida,"Marathon, Monroe County",Swimming,Male,,Lacerations to abdomen,N,,Nurse shark
02-Sep-2017,2017.0,Unprovoked,USA,Texas,"South Padre Island, Cameron County",Swimming,Female,,Lacerations to foot,N,,
02-Sep-2017,2017.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Male,17.0,Minor injury to right hand,N,10h44,
29-Aug-2017,2017.0,Unprovoked,AUSTRALIA,Victoria,Cathedral Rock,Surfing,Male,37.0,"No injury, board bitten",N,10h30,"White shark, 3 m"
27-Aug-2017,2017.0,Unprovoked,USA,Florida,Bathtub Beach ,Wading,Female,3.0,Leg injured,N,13h19,
26-Aug-2017,2017.0,Invalid,SPAIN,Castellón,Grao de Moncofa,Swimming,Female,11.0,Lacerations to left foot,,Midday,Shark involvement questionable
26-Aug-2017,2017.0,Unprovoked,NEW ZEALAND,North Island,Off Tutukaka,Canoeing,Male,,"No injury, shark bit canoe",N,,
23-Aug-2017,2017.0,Unprovoked,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",SUP,Male,69.0,Not injured by shark but board bitten,N,10h00,"White shark, 5' to 7'"
18-Aug-2017,2017.0,Unprovoked,BAHAMAS,,,Spearfishing,Male,,Hand injured,N,15h00,5' shark
10-Aug-2017,2017.0,Unprovoked,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Swimming,Male,13.0,Minor cuts to sole & toes of left foot,N,13h30,Possibly a juvenile blacktip shark
05-Aug-2017,2017.0,Unprovoked,EGYPT,Red Sea Protectorate,Marsa Ghalib,Snorkeling,Female,20.0,Bite to right leg/hip,N,,"Oceanic whitetip shark, 1.8 to 2 m"
03-Aug-2017,2017.0,Provoked,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",Fishing,Male,34.0,Foot bitten by landed shark PROVOKED INCIDENT,N,23h30,4' shark
01-Aug-2017,2017.0,Boating,USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",Kayaking / Fishing,Male,,"No injury, bow of kayak bitten",N,10h45,"White shark, 10'"
31-Jul-2017,2017.0,Unprovoked,USA,Florida,"Jacksonvlle, Duval County",Skimboarding,Male,15.0,Lacerations to lower leg,N,18h30,
29-Jul-2017,2017.0,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,Male,10.0,Abrasions and cuts to sole of foot,,15h00,A small shark
29-Jul-2017,2017.0,Unprovoked,USA,South Carolina,"DeBordieu Colony, Georgetown County",,Female,12.0,Bite to left thigh / minor injury,N,Afternoon,
27-Jul-2017,2017.0,Unprovoked,BAHAMAS,New Providence District,Rose Island,Snorkeling,Female,,Foot & ankle injured,N,,
Reported 26-Jul-2017,2017.0,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,,Spearfishing,Male,,Severe lacerations to left hand,N,,
24-Jul-2017,2017.0,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Surfing,Male,37.0,Torso bitten,N,17h00,
23-Jul-2017,2017.0,Unprovoked,USA,New Jersey,Ventnor,,Female,,Minor injury to hand,N,,Sandtiger shark  2'
23-Jul-2017,2017.0,Unprovoked,SPAIN,Majorca,"Estanys Beach, Colonia de Sant",Swimming,Female,,Abrasion to arm from shark's rough skin,N,Afternoon,Blue shark 6'
22-Jul-2017,2017.0,Unprovoked,USA,Florida,"Snipes Point, Monroe County",,Female,40.0,Foot bitten,N,12h30,"""A small shark"""
20-Jul-2017,2017.0,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,Female,8.0,Foot injured,,,Shark involvement not confirmed
20-Jul-2017,2017.0,Boating,USA,California,"Stearns Wharf, Santa Barbara",Kayaking,Male,40.0,"No injury, kayak bitten",N,11h20,"White shark, 11' to 13'"
20-Jul-2017,2017.0,Unprovoked,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",SUP,Male,50.0,"No injury, shark bit paddleboard",N,07h45,"White shark, 8' to 10'"
14-Jul-2017,2017.0,Unprovoked,USA,Washington,"South Beach, Westport, Grays Harbor County",Surfing,Male,,Pulled off board by shark but no injury,N,18h30,"White shark, 9'"
14-Jul-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,Floreat Beach,Surfing,Male,,"Minor injury, grazed by shark",N,11h45,
11-Jul-2017,2017.0,Boating,USA,California,"Santa Cruz, Santa Cruz County",Kayaking,Male,,"No injury, kayak bitten",N,11h00,White shark
09-Jul-2017,2017.0,Unprovoked,USA,Florida,"Haulover Beach, Miami-Dade County",Swimming,Male,46.0,Lower legs bitten,N,15h30,"Bull shark, 4' to 5'"
Reported 07-Jul-2017,2017.0,Provoked,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",Fishing,Male,32.0,Hand bitten by hooked shark PROVOKED INCIDENT,N,,"Tiger shark, 100 kg"
07-Jul-2017,2017.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",Surfing,Female,13.0,"No injury, shark bit surfboard",N,15h00,"White shark, 2.5 m"
02-Jul-2017,2017.0,Invalid,COMOROS,Anjouan,Moya,Fishing,,,"Skull found in shark, a probable drowning & scavenging",,,Shark involvement prior to death not confirmed
29-Jun-2017,2017.0,Invalid,USA,South Carolina,Wrightsville Beach,Fishing,Male,,"Arm injured by hook, not by a shark",,19h30,No shark invovlement 
21-Jun-2017,2017.0,Unprovoked,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",Swimming,Female,16.0,Left foot bitten,N,,
19-Jun-2017,2017.0,Unprovoked,USA,Florida,"Singer Island, Palm Beach County",Surfing,Male,,1 to 2-inch laceration behind knee,N,Morning,
18-Jun-2017,2017.0,Unprovoked,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swimming,Female,14.0,Leg bitten,N,,"Bull shark, 4' to 5'"
18-Jun-2017,2017.0,Unprovoked,REUNION,,Roches Noire,Body boarding,Male,34.0,"No injury, shark bit surfboard ",N,10h00,"Bull shark, 2m"
17-Jun-2017,2017.0,Unprovoked,SPAIN,Ibiza Island,Playa den Bossa,Swimming,Male,82.0,2-inch laceration to hand,N,12h00,
2017.06.05,2017.0,Unprovoked,FRENCH POLYNESIA,Marquesas,"Atuona Bay, Hiva Oa Island",Surfing,Male,,Injuries to hand and wrist,N,,
Reported 14-Jun-2017,2017.0,Unprovoked,BAHAMAS,,,Feeding sharks,Female,,Fingernail pulled off ,N,,
11-Jun-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",Body boarding,Male,48.0,"No injury, board bitten",N,08h30,"White shark, 4 m"
10-Jun-2017,2017.0,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",Surfing,Female,,"No injury, knocked off board",N,15h45,Seven-gill shark
10-Jun-2017,2017.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,Male,19.0,Laceration to left foot,N,10h00,
Reported 07-Jun-2017,2017.0,Unprovoked,UNITED KINGDOM,South Devon,Bantham Beach,Surfing ,Male,30.0,"Bruise to leg, cuts to hand sustained when he hit the shark",N,,"3m shark, probably a smooth hound"
04-Jun-2017,2017.0,Unprovoked,USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",Spearfishing,Male,,Laceration to shin,N,,8' shark
02-Jun-2017,2017.0,Unprovoked,BAHAMAS,New Providence ,Athol Island,Snorkeling,Female,32.0,Right forearm severed ,N,Shortly before 12h00,Tiger shark
30-May-2017,2017.0,Provoked,USA,South Carolina,"Awendaw, Charleston County",Touching a shark,Female,20.0,Right hand bitten by hooked shark PROVOKED INCIDENT,N,,3' shark
28-May-2017,2017.0,Unprovoked,USA,Florida,Off Jupiter,Feeding sharks,Male,,Lacerations to right arm,N,Morning,Tiger shark
27-May-2017,2017.0,Invalid,AUSTRALIA,New South Wales,Evans Head,Fishing ,Male,73.0,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N,,
12-May-2017,2017.0,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Khor Fakkan,Spearfishing,Male,41.0,Right leg severely bitten,N,Morning,
Reported 06-May-2017,2017.0,Provoked,AUSTRALIA,Queensland,Weipa,Attempting to lasso a shark,Male,29.0,Thigh nipped PROVOKED INCIDENT,N,,9' shark
05-May-2017,2017.0,Unprovoked,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",Snorkeling,Male,33.0,FATAL,Y,17h00,
03-May-2017,2017.0,Invalid,USA,California,"Sunset Beach, Orange County",Surfing,Female,18.0,"Laceration to thigh, likely caused by surfboard fin",,14h30,Shark involvement highly doubtful
29-Apr-2017,2017.0,Unprovoked,USA,California,"San Onofre, San Diego County ",Swimming,Female,,Major injury to posterior thigh,N,17h34,
29-Apr-2017,2017.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",Surfing,Male,14.0,Minor injury to right calf,N,17h10,
29-Apr-2017,2017.0,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Surfing,Female,33.0,Left foot bitten,N,11h00,
29-Apr-2017,2017.0,Unprovoked,REUNION,Saint-Leu,Pointe au Sal,Body boarding,Male,28.0,FATAL,Y,11h15,
27-Apr-2017,2017.0,Unprovoked,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",Body boarding,Female,,Puncture wounds & laceration above knee,N,14h00,
26-Apr-2017,2017.0,Invalid,USA,Florida,,Photo shoot,Female,,Alleged laceration to left ankle,,,No shark invovlement - it ws a publicity stunt
22-Apr-2017,2017.0,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Snorkeling,Female,40.0,Calf & foot bitten,N,16h00,
20-Apr-2017,2017.0,Invalid,USA,South Carolina,Georgetown County,Swimming,Male,,Laceration & puncture wounds to left foot,,08h50,Shark involvement not confirmed
17-Apr-2017,2017.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",,,,Minor bite to the foot,N,Afternoon,
17-Apr-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,Surfing,Female,17.0,FATAL,Y,16h00,White shark
14-Apr-2017,2017.0,Unprovoked,USA,Hawaii,"Kekaha Beach, Kauai",Surfing,Male,28.0,Lower right leg severely injured,N,09h00,"Tiger shark, 12'"
13-Apr-2017,2017.0,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,Male,17.0,Lacerations to right foot,N,13h30,
12-Apr-2017,2017.0,Unprovoked,USA,Florida,St. Augustine,Surfing,Female,,Lacerations to right foot,N,13h45,
12-Apr-2017,2017.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Protea Banks,Scuba Diving,Male,68.0,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",,,Shark involvement prior to death not confirmed
11-Apr-2017,2017.0,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,Female,35.0,Calf bitten,N,16h00,
10-Apr-2017,2017.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Paddle boarding,Female,10.0,Laceration to calf,N,17h45,
10-Apr-2017,2017.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,Female,21.0,Minor injury to left hand,N,17h00,
06-Apr-2017,2017.0,Unprovoked,USA,Florida,"Daytona, Volusia County",Swimming,Male,16.0,Foot injured,N,,
05-Apr-2017,2017.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,Female,51.0,"Thigh nipped, minor injury",N,13h00,
02-Apr-2017,2017.0,Unprovoked,AUSTRALIA,Queensland,Moreton Bay,Kakaying,Male,39.0,"No injury, shark bit off stern of kayak",N,Afternoon,
02-Apr-2017,2017.0,Unprovoked,USA,Florida,"Destin, Okaloosa County",Swimming,Female,17.0,Lacerations to thighs,N,15h00,"Bull shark, 5' to 7'"
27-Mar-2017,2017.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Male,58.0,Minor injury to left foot,N,10h00,
19-Mar-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,The Farm,Body boarding,Male,30.0,Minor,N,18h30,
18-Mar-2017,2017.0,Boating,USA,California,Monterey Bay,Kayaking,Male,,"No injury, kayak bitten",N,14h30,White shark
11-Mar-2017,2017.0,Unprovoked,PHILIPPINES,Luzon Island,"Villamar, Caoayan",Spearfishing,Male,25.0,Right thigh injured ,N,,10' shark
