Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species
12-Jul-2006,2006.0,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",Swimming,Female,21.0,Ankle & foot bitten,N,13h30,
10-Jul-2006,2006.0,Unprovoked,BRAZIL,Pernambuco,Body recovered at Goiana,,Male,,FATAL,Y,,Bull or tiger shark
09-Jul-2006,2006.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,Male,40.0,Dorsum of left foot bitten,N,17h00,
09-Jul-2006.,2006.0,Unprovoked,USA,Florida,"Ponte Vedra Beach, St Johns County",Walking,Male,11.0,Lower leg & ankle bitten,N,13h00,
08-Jul-2006,2006.0,Unprovoked,USA,South Carolina,"Debordieu Beach, Georgetown County",Body boarding,Female,14.0,Foot bitten,N,11h00,5' to 6' spinner or bull shark
08-Jul-2006,2006.0,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Swimming,Male,13.0,Right calf bitten,N,13h00,
July 2006,2006.0,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Spearfishing,Female,28.0,Lacerations & puncture wound  to arm,N,,"1.8 m blacktip ""reef"" shark"
July 2006,2006.0,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Spearfishing,Male,35.0,Minor injuries,N,,"1.8 m blacktip ""reef"" shark"
27-Jun-2006,2006.0,Unprovoked,USA,Florida,"Hutchinson Island, St. Lucie County",Body boarding,Female,9.0,Right calf bitten,N,11h10,
26-Jun-2006,2006.0,Provoked,USA,Florida,Fort Myers,Fishing,Male,,Non-swimmer pulled off pier& into the water by a hooked shark PROVOKED INCIDENT,N,Afternoon,
24-Jun-2006,2006.0,Unprovoked,BAHAMAS,Andros Islands,Mangrove Cay,Spearfishing,Male,25.0,Right arm severely bitten,N,13h00,
20-Jun-2006,2006.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Female,22.0,2-inch puncture wounds on right foot,N,13h00,Possibly a 1' to 3' blacktip or spinner shark
18-Jun-2006,2006.0,Unprovoked,BRAZIL,Pernambuco,"Punta Del Chifre Beach, Olinda",Body boarding,Male,27.0,Left thigh bitten FATAL,Y,09h00,
17-Jun-2006,2006.0,Unprovoked,USA,California,"Monterey, Monterey County",Scuba diving,Male,43.0,"No injury, shark bit scuba tank boot",N,11h10,
15-Jun-2006,2006.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Male,24.0,Four 1-inch puncture wounds on left foot ,N,15h30,2' to 3' shark
07-Jun-2006,2006.0,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Playing,Female,7.0,Lacerations & puncture wounds to left foot & buttocks,N,13h45,3' to 4' shark
05-Jun-2006,2006.0,Unprovoked,AUSTRALIA,South Australia,Waitpinga,Surfing,Male,40.0,"No injury, knocked off surfboard",N,11h30,14' white shark
31-May-2006,2006.0,Unprovoked,USA,Hawaii,O'ahu,Spearfishing,Male,26.0,"4"" laceration to left forearm",N,13h30,"Tiger shark, 8' to 12'"
28-May-2006,2006.0,Provoked,USA,Hawaii,French Frigate Shoals,Tagging sharks,,,"No injury to occupants, boat damaged by hooked shark PROVOKED INCIDENT",N,Afternoon,"Tiger shark, 15' female"
27-May-2006,2006.0,Unprovoked,USA,Hawaii,"North Shore, O'ahu",Surfing,Male,31.0,"No injury, shark bumped surfboard",N,16h00,
